Speaker 1:                                             Joe Biden picking up not one but three endorsements from his former opponents.
Bill Clinton:                                          But did it have to be this way? No. COVID hit us much harder than it had to. We have just 4% of the world's population, but 25% of the world's COVID cases. Our unemployment rate is more than twice as high as South Korea's, 2.5 times the United Kingdom's, more than three times Japan's. Donald Trump says we're leading the world. Well, we are the only major industrial economy to have its unemployment rate tripled.

Bill Clinton:                                          At a time like this, the Oval Office should be a command center. Instead, it's a storm center. There's only chaos. Just one thing never changes, his determination to deny responsibility and shift the blame. The buck never stops there.

Bill Clinton:                                          Now you have to decide whether to renew his contract or hire someone else. If you want a president who defines the job as spending hours a day watching TV and zapping people on social media, he's your man. Denying, distracting, and demeaning works great if you're trying to entertain or inflame. But in a real crisis, it collapses like a house of cards.

Bill Clinton:                                          COVID just doesn't respond to any of that. To beat it, you've got to actually go to work and deal with the facts.

Bill Clinton:                                          Our party is united in offering you a very different choice, a go-to-work president. A down-to-earth, get-the-job-done guy. A man with a mission to take responsibility, not shift the blame; concentrate, not distract; unite, not divide. Our choice is Joe Biden.

Bill Clinton:                                          Joe helped bring us back from a recession before, and he can do it again. In 2009, Barack Obama and Joe Biden started with the worst economy since the Great Depression. When they were done, they delivered more than six straight years of job growth.

Bill Clinton:                                          What did Joe do? He accepted responsibility for implementing the Recovery Act. His work created a lot of new jobs and started many new companies in communities across our country. Now Joe is committed to building America back again.

Bill Clinton:                                          How? He's given us smart, detailed plans to invest in areas vital to our future. Innovative financing for modern factories and small businesses, good jobs in green energy and conservation to combat climate change, a modern infrastructure that brings small town and rural America the connectivity and investment others take for granted, and a plan to ensure that Black Americans, Latino Americans, Native Americans, women, immigrants, and other communities left behind are full participants in our economy and our society.

Bill Clinton:                                          Joe Biden wants to build an economy far better suited to our changing world. Better for young people. Better for families working and raising their kids. Better for people who lost jobs and need new ones. Better for farmers tired of being collateral damage in trade wars. Better for workers caring for the sick, elderly, and people with disabilities. Better because of a living wage and access to affordable higher education and healthcare, including prescription drugs, and to childcare, a secure retirement, and for the first time, paid family and medical leave.

Bill Clinton:                                          Joe won't just put a signature on a check and try to fool you into thinking it came from him. He'll work to make sure that your paycheck reflects your contribution to and your stake in a growing economy.

Bill Clinton:                                          In this job interview, the difference is stark. You know what Donald Trump will do with four more years, blame, bully, and belittle. And you know what Joe Biden will do, build back better. It's Trump's "us vs. them" America against Joe Biden's America, where we all live and work together. It's a clear choice. The future of our country is riding on it. Thank you.

Tracee Ellis Ro...:                                    It's time to call the roll and officially nominate the Democratic candidate for president of the United States. But this year for the first time, the roll call is heading out to all 57 states and territories. Places that showcase our nation's natural beauty, places where people are working together to secure a better future for our country, and places that are working to rebuild and recover. Like Iowa, where thousands have been left homeless and hundreds of thousands have been left without power in the wake of last week's terrible storm. Our hearts are with you, Iowa.

Tracee Ellis Ro...:                                    There's so much going on right now. Tonight, we come together to nominate a candidate who will fight for all of us. The convention delegates will do the official nominating, but you can join them in supporting Joe Biden. Text "join" to 30330 to get involved. Now, the chair of the Democratic National Committee, Tom Perez.

Tom Perez:                                             It's great to be here in Milwaukee, a proud union town whose has grit and character reflect the resilience of our party and our country. There's no doubt these last few months have been tough, but good leadership means being able to adapt to any situation. I want to thank the people of Milwaukee for being such gracious and flexible hosts.

Tom Perez:                                             It's also great to be back in Wisconsin, where I was lucky enough to marry my wife Ann Marie a little more than three decades ago. The progressive movement has deep roots here. Since today is the 100th anniversary of the 19th Amendment's ratification, we should point out that Wisconsin was the first state to ratify it.

Tom Perez:                                             What's more, in its one word motto, "Forward," Wisconsin captures something so important about America. The way that no matter what challenges today brings, we always believe a better future is possible.

Tom Perez:                                             That's what my parents believed when they immigrated to this country nearly a century ago, fleeing the iron fist of a brutal dictator in the Dominican Republic. This nation welcomed them with compassion. They quickly learned that their hope of building a better life through hard work was shared by generations of Americans.

Tom Perez:                                             Indeed, every American story is a story about that hope, that sense of possibility. It's what unites us, defines us, and it's what sustains us now. We will work to meet our extraordinary challenges, because progress is made by the hopeful, not the cynical. We will do that work together because movements are built by the many, not the few.

Tom Perez:                                             As you watch tonight's decidedly unconventional roll call and reflect on the diversity of our nation, remember you too are part of the American story. No matter where you come from or where you're watching from tonight, you have a place in Joe Biden's Democratic Party.

Bennie Thompson:                                       Delegates and distinguished guests, under our procedural rules, two Democratic candidates submitted nominating documents to our convention secretary for the office of president of the United States, Senator Bernie Sanders and Vice President Joe Biden. As such, each candidate has provided names of individuals who will make nominating and seconding speeches on their behalf. We will begin with nominating and seconding speeches for Senator Sanders. Speaking on his behalf will be two progressive champions, Bob King and Representative Alexandria Ocasio-Cortez.

Bob King:                                              I'm Bob King. As a proud union member and former president of a great American union, the UAW, I am honored to nominate Bernie Sanders for president. For decades, Bernie has led the fight for working families, fighting for workers' rights to organize unions and collectively bargain. In a time of enormous inequality, he understands that we must confront large corporations, which have far too much control over our economy and our politics.

Bob King:                                              Bernie believes healthcare is a human right, and should not be contingent on a job. He knows we can rebuild our crumbling infrastructure by creating millions of good-paying union jobs while combating climate change. Bernie's moral clarity has emboldened the Democratic Party's fight for justice. The grassroots energy of his supporters has amended important advances in our platform. Bernie will continue to lead a movement that helps defeat Trump and delivers transformational change. I'm excited to place into nomination the name of a great champion of the working class, Senator Bernie Sanders.

Alexandria Ocas...:                                    Good evening, [Spanish 00:00:55:02], and thank you to everyone here today, endeavoring towards a better, more just future for our country and our world. Infidelity and gratitude to a mass people's movement, working to establish 21st century social, economic, and human rights, including guaranteed healthcare, higher education, living wages, and labor rights for all people in the United States.

Alexandria Ocas...:                                    A movement striving to recognize and repair the wounds of racial injustice, colonization, misogyny, and homophobia, and to propose and build re-imagined systems of immigration and foreign policy that turn away from the violence and xenophobia of our past. A movement that realizes the unsustainable brutality of an economy that rewards explosive inequalities of wealth for the few, at the expense of long-term stability for the many. And who organized a historic grassroots campaign to reclaim our democracy. In a time when millions of people in the United States are looking for deep, systemic solutions to our crises of mass evictions, unemployment, and lack of healthcare, and [Spanish 00:25:25], and out of a love for all people, I hereby second the nomination of Senator Bernard Sanders of Vermont for president of the United States of America.

Bennie Thompson:                                       Thank you, Mr. King and Representative Ocasio-Cortez. We now turn to nominating and seconding speeches for Vice President Biden. In a moment, we'll hear from Senator Chris Coons, who holds the Delaware Senate seat once held by the Vice President, and representative Lisa Blunt Rochester, my colleague in the House. But first, we'll hear from Jacquelyn Asbie, a working American who met Joe Biden in a most unexpected place, the elevator where she worked.

Jacquelyn Asbie:                                       I take powerful people up on my elevator all the time. When they get off, they go to their important meetings. Me, I just head back to the lobby. But in the short time I spent with Joe Biden, I could tell he really saw me, that he actually cared, that my life meant something to him. I knew even when he went into his important meeting, he'd take my story in there with him. That's because Joe Biden has room in his heart for more than just himself.

Jacquelyn Asbie:                                       We've been through a lot and we have tough days ahead, but nominating someone like that to be in the White House is a good place to start. That's why I nominate my friend, Joe Biden, as the next president of the United States.

Chris Coons:                                           I'm Senator Chris Coons from Delaware, a small state where people expect to see their senators and even sometimes their vice president at the supermarket, at a church festival, out in their community. Joe fights for us because he knows our struggles and hopes. He knows the pain of loss and the worries of working parents. And he's always brought that same personal concern he showed for Jacquelyn to getting things done as our Senator and then as President Obama's vice president.

Chris Coons:                                           Joe's tackled gun violence and climate change. He stood up to dictators and supported our troops. He led the recovery effort after the last recession, and delivered on a promise to make our healthcare system fairer and stronger.

Chris Coons:                                           Through it all, Joe Biden's never forgotten where he's from. He's been sustained by his faith and his family through the toughest of times. And he has the heart and the compassion for this moment. For all of these reasons and more, it's my honor to second the nomination of my good friend, Joe Biden, to be the next president of these United States.

Lisa Blunt Roch...:                                    I'm Congresswoman Lisa Blunt Rochester. In some history class in the future, children are learning about this moment. They're learning about our pain, our grief, our worry. But they're also learning about a man named Joe Biden, about how he restored decency to our government and integrity to our democracy.

Lisa Blunt Roch...:                                    They're learning about how we conquered a pandemic, stood united for racial justice, and built our economy back better than before. They're learning about how his leadership gave their generation a fighting chance. They're learning about us too, about the resolve and the unity we showed against the forces of hatred and division, about the work we will do over the next 11 weeks. And about the night when despite our distance, we came together to nominate Joe Biden for president of the United States. A nomination I'm honored to second.

Bennie Thompson:                                       Thank you all. Pursuant to our convention rules, we'll now proceed to a roll call by states on the selection of our party's candidate for the president of the United States. Secretary Rae?

Jason Rae:                                             Mr. Chairman, coming to you live from the Wisconsin Center, it's time to begin our virtual trip around America. Our journey begins at the site of a major step forward in our national journey towards justice. Let's go to Alabama.

Terri Sewell:                                          John Lewis marched across this bridge in 1965 to demand the right to vote. A lifetime later, civil rights and voting rights remain America's great unfinished business.

Terri Sewell:                                          But those who walked this path before us showed us the way forward. If we want to honor John Lewis's incredible life, let's restore the Voting Rights Act and ensure that our democracy belongs to all Americans. Alabama casts eight votes for Bernie Sanders, and the great state of Alabama casts 52 votes for our next president of these United States, Joe Biden.

Jason Rae:                                             Alaska.

Chuck Degnan:                                          The waters we rely on to feed our families and make a living are threatened by climate change. When Joe Biden was vice president, he and President Obama made sure Alaska's tribes had a say on how these waters were managed. Donald Trump took it away. We must elect the president who will respect our voices, protect our waters, and address climate change. Alaska casts seven votes for Bernie-

Chuck Degnan:                                          ...for waters and address climate change. Alaska casts 7 votes for Bernie Sanders and 12 votes for the next President, Joe Biden.

Announcer:                                             American Samoa.

Petti Matila:                                          Joe Biden honors our service and we trust him to support our community. As Vice President, he helped expand rural infrastructure to communities like ours, broadening our economic capacity. As President, he will continue to strengthen rural America from New England to the Pacific.

Aliitama Sotoa:                                        On behalf of the Governor Lolo Matalasi Moliga and the American Samoa Democratic Party, we proudly cast 11 votes for our next President of the United States of America, Joe Biden.

Announcer:                                             Arizona.

Marisol Garcia:                                        As a middle school teacher, I know that public educators are doing everything they can to make sure our students have quality learning experiences this fall. As a mother of a high school freshman, I know that it's far from perfect. As an NEA union organizer, I'll fight to make sure that it's scientists, parents, and educators that decide when it's safe to go back to school, not politicians. As an Arizona Latina, I proudly cast our votes, 29 for Bernie Sanders and 51 for our next President, Joe Biden.

Announcer:                                             Arkansas.

Gilbert Alaquin...:                                    Feeding people is an act of love, and I think we all can use a little extra love these days, so we took our food trucks out into the community to deliver meals made right here at the Clinton Presidential Center for our neighbors in need. Even when our leaders let us down, Americans kept looking out for each other. Arkansas casts 9 votes for Bernie Sanders and 27 votes for our next President, Joe Biden.

Announcer:                                             California.

Hilda Solis:                                           Climate change is not a hoax. It's real, and communities of color have been bearing the brunt of this reality for generations.

Barbara Lee:                                           Joe Biden's plan to crack down on polluters to protect our air and water is about environmental justice and economic justice.

Hilda Solis:                                           He'll prioritize equity and bring new clean energy jobs to black and brown neighborhoods, because that is how we build back better.

Barbara Lee:                                           California, home to our next Vice President Kamala Harris, casts 231 votes for Bernie Sanders and 263 votes for our next President, Joe Biden.

Hilda Solis:                                           ...and 263 votes for our next President, Joe Biden.

Announcer:                                             Colorado.

Howard Chou:                                           Han and I grew up in poverty as immigrants, but we've been able to make a decent living. We're extremely lucky, but now we have three family members that tested positive for COVID and it just doesn't feel safe to put Evan and Emma back to school. This [inaudible] is going to be hard on them and on us, but millions of working families will have it much harder. I know Joe Biden cares about these struggles and that's why I trust him to fight for us. With one abstention, Colorado will cast 36 votes for Bernie Sanders and 42 for our next President, Joe Biden.

Announcer:                                             Connecticut.

Peter Carozza:                                         Firefighters are proud to put our lives on the line every day to protect our neighbors. It's a badge of courage. But while we are protecting your family, we need a President who is committed to protecting ours, and that's Joe Biden. He has the courage we respect and the commitment to working Americans we need now. On behalf of our Governor Ned Lamont, I am honored to cast Connecticut's 75 votes for our next President, Joe Biden.

Announcer:                                             Delaware.

Tom Carper:                                            Delaware passes.

Announcer:                                             Delaware passes. Democrats abroad.

Julia Bryan:                                           We represent the millions of Americans who live outside the United States and vote back home. Americans abroad can make a difference in the states that will decide this year's elections. We need your help to elect a President who will restore our standing around the world. Go to votefromabroad.org to learn more. Democrats Abroad is proud to cast 10 votes for Bernie Sanders and 7 votes for our next President, Joe Biden.

Announcer:                                             District of Columbia.

Muriel Bowser:                                         Welcome to my hometown and the best city in the world. Washington, D.C., is 706,000 residents strong. We raise families, pay taxes, and serve the United States military just like every American in the 50 states. The House of Representatives just passed an historic piece of legislation to make Washington, D.C., the 51st state. On Black Lives Matter Plaza, the District of Columbia proudly cast one vote for Bernie Sanders and 43 votes for the next President of the United States, Joe Biden.

Announcer:                                             Florida.

Fred Guttenberg:                                       When my daughter was murdered in Parkland, Joe Biden called to share in our family's grief. I quickly learned about his decency and his civility, but I also learned about his toughness and how he's beaten the NRA. Together with the other victims of gun violence and our nation's youth, Joe Biden and Kamala Harris will take on the NRA again and win. Let's win back our freedom to live without fear. Florida cast 57 votes for Bernie Sanders and 192 votes for our next President, Joe Biden.

Announcer:                                             Georgia.

Nikema Williams:                                       My mentor Congressman John Lewis knew that the right to vote is sacred. Georgians know that our ability to vote is under attack. Long lines, voter suppression. Donald Trump is even trying to slow down the mail and force us to risk our lives to cast a ballot. We will not be silenced. Take out your phone and text VOTE to 30330, and make sure your voice is heard in this election. From the cradle of the civil rights movement and in the spirit of good trouble, Georgia cast our 117 votes for our next President, Joe Biden.

Announcer:                                             Guam.

Sarah Thomas-Ne...:                                    70 years ago this summer, Chamorros became US citizens. We are proud of our resilience, proud of our indigenous heritage, and proud to be part of this historic moment for our party and our nation. From the land where America's stay begins, Guam casts 2 votes for Bernie Sanders and 11 votes for our next President, Joe Biden.

Announcer:                                             Hawaii.

Amy Agbayani:                                          I came from the Philippines to Hawaii, the land of indigenous native Hawaiians. Today, I want to speak to my fellow immigrants, to the essential workers on the front line, to the service members who wear our flag, to the parents with big dreams for their children. No matter where we came from, immigrants belong in our country's long fight for justice. We belong in the America we are building together. Hawaii, birthplace of President Obama, casts 9 votes for Bernie Sanders and 23 votes for our next President, Joe Biden.

Announcer:                                             Idaho.

Lauren McLean:                                         We're not waiting for Washington to act on climate change. Here in Boise, we know that clean energy doesn't just mean a healthier planet. It means good-paying jobs. Imagine what we could do with a President that listens to science and leads with courage. Idaho casts 9 votes for Bernie Sanders and 16 for our next President, Joe Biden.

Announcer:                                             Illinois.

Carol Moseley B...:                                    Discrimination has denied too many black Americans the chance to own a home and build wealth. Joe Biden has a plan to end racist lending practices and help more people of color achieve the American dream of owning a home. This isn't just about racial justice. It's about strong communities and more economic security for working families. Illinois casts 59 votes for Bernie Sanders and 122 votes for our next President, Joe Biden.

Announcer:                                             Indiana.

Pete Buttigieg:                                        Here in South Bend, we once feared that our best days were behind us, but then we reimagined our economy with new jobs and even new industries. The Hoosier State is ready to lead America's recovery with our diverse communities, our talented workers, and our best in the world agriculture. Joe Biden's plan gives us a blueprint to revitalize industrial cities and rural areas alike. Indiana casts 2 votes for my friend Bernie Sanders, and 86 votes for the next President, Joe Biden.

Announcer:                                             Iowa.

Tom Vilsack:                                           We were going to talk to you tonight about biofuels, but the powerful storm that swept through Iowa last week has taken a terrible toll on our farmers, our small businesses, and our families who are still without power.

Christie Bell:                                         So while we have the honor of casting Iowa's votes, 11 for Bernie Sanders and 38 for Joe Biden, we also want to ask for you to keep Iowans in your thoughts during this difficult time.

Announcer:                                             Kansas.

Mark Pringle:                                          I'm a fourth-generation family farmer, but I worry about the next generation. Many of our young folks end up moving from a rural community to find jobs. Joe Biden has a plan to help new farmers get a good start, and by funding schools and healthcare, you'll make sure that rural communities remain great places to live, work, raise a family for generations to come. Kansas, the Sapphire State, proudly casts 10 votes for Bernie Sanders and 35 votes for our next President, Joe Biden.

Announcer:                                             Kentucky.

Colmon Elridge:                                        One day when I was 14, my mom wouldn't wake up. Calling 911, I was scared not only because she was sick, but because I knew we couldn't afford the bill. Thank God she survived. When I told Joe Biden that story in 2008, he promised to continue to fight for folks like us and got busy passing Obamacare. Two years ago, when mom had a heart attack, we only had to worry about her getting better because Joe kept his promise. The Commonwealth of Kentucky cast all 60 votes for the next President of the United States, Joe Biden.

Announcer:                                             Louisiana.

Cedric Richmond:                                       This used to be an abandoned building. Now it's a thriving art studio, a community hub, a place where independent artists can make their name and parents can bring their kids during these difficult days of remote learning.

LaToya Cantrell:                                       Our cities are strong because our people make them strong, and our economy will come back because our small businesses will bring it back. Louisiana cast all 60 of our votes for my friend and the next President, Joe Biden.

Announcer:                                             Maine.

Craig Hickman:                                         My American dream? I'm living it. A 25-acre organic farm on a lake, a roadside farm stand, and a bed and breakfast. My husband and I aren't corporate tycoons. We just want to make an honest living and feed our community. Small businesses like ours are the backbone of rural economies across America. Joe Biden has a plan to help more Americans, especially people of color, start their own businesses. Maine casts 9 votes for Bernie Sanders and 22 votes for our next President, Joe Biden.

Announcer:                                             Maryland.

Brandon Scott:                                         Black lives matter, and when it comes to racial justice, black opportunity matters.

Bianca Shah:                                           When Joe Biden rebuilds our middle class, he won't leave anyone behind. His plan? More capital for black entrepreneurs.

Brandon Scott:                                         More funding for public schools and HBCUs.

Bianca Shah:                                           Banning racial discrimination in the housing market.

Brandon Scott:                                         And paying every worker a fair wage.

Bianca Shah:                                           That's building back better.

Brandon Scott:                                         Maryland...

Bianca Shah:                                           The home of Frederick Douglass...

Brandon Scott:                                         ...cast 1 vote for Bernie Sanders and 119 votes for our next President, Joe Biden.

Announcer:                                             Massachusetts.

Claire Cronin:                                         We need a plan to get the economy going again. Joe Biden will get the pandemic under control, create new jobs in manufacturing and clean energy, help small businesses and our restaurants recover, and build back better so that our economy is stronger and fairer than it was before. Massachusetts cast 30 votes for Bernie Sanders and 83 votes for our next President, Joe Biden.

Announcer:                                             Michigan.

Gary Peters:                                           Michigan auto workers are the best in the world, but we'd be nowhere without Joe Biden, and a lot of folks wanted to let Detroit go bankrupt, but Joe Biden believed in us, and together, we fought to save our auto industry.

Ray Curry:                                             Now he's got a plan to create a million new auto jobs by investing in clean energy. Joe Biden believes in American workers. He's got our back and we've got his.

Gary Peters:                                           Michigan cast 53 votes for Bernie Sanders and 92 votes for our next President, Joe Biden.

Announcer:                                             Minnesota.

Amy Klobuchar:                                         I'm here in Minnesota, the home of the headwaters of the Mississippi River. We know that a bridge shouldn't fall down in the middle of America, but it did, and we came together to rebuild it. That's what we do in America. That's what Joe Biden will do as President. He'll build back better. He'll cross the river of our divides and unite this country, from our cities to our suburbs to our rural areas. And now, we will virtually cross the great Mississippi to St. Paul to hear from my friend, Mayor Melvin Carter.

Melvin Carter:                                         Thank you, Senator. As the 46th mayor of a city that's more than ready for our 46th President, I'm proud to cast Minnesota's 31 votes for Bernie Sanders and 60 votes for our next US President, Joe Biden.

Announcer:                                             Mississippi.

Carmen Walters:                                        Tougaloo College reflects the progression of a people, from slavery to citizenship to scholarship and leadership, contributing to Mississippi and the world. Our alumni are leaders like Convention Chairman Congressman Bennie Thompson. Joe Biden wants to invest 70 billion in HBCUs like Tougaloo. Imagine what impact that can have on HBCUs. Imagine what impact HBCUs could have on America. Mississippi cast 2 votes for Bernie Sanders and 38 votes for our next President, Joe Biden.

Announcer:                                             Missouri.

Reuben Gill:                                           As a member of the International Union of Bricklayers and Allied Craftworkers Local 1 St. Louis, I love walking around the city and seeing the contributions that my brothers and sisters have made. We stand ready to rebuild our nation's infrastructure, and with Joe Biden's leadership, we'll create millions of new jobs building back better. Missouri casts 28 votes for Bernie Sanders and 50 votes for our next President, Joe Biden.

Announcer:                                             Montana.

Rachel Prevost:                                        When COVID shut down my college, I came home to my parents' ranch to finish senior year online. But some days, I can't even get a video to load or an email attachment to send. Without reliable internet, there's no remote learning, no virtual doctor's appointments, and just try starting a small business. Rural broadband can be a game changer for rural communities like mine, and Joe Biden has a plan to make it happen. Montana cast 1 vote for Bernie Sanders and 18 votes for our next President, Joe Biden.

Announcer:                                             Nebraska.

Geraldine Walle...:                                    I work at a meatpacking plant, making sure grocery store shelves stay full. They call us essential workers, but we get treated like we're expendable. Workers are dying from COVID and a lot of us don't have paid sick leave or even quality protective equipment. We are human beings, not robots, not disposable. We want to keep helping you feed your family, but we need a President who will have our backs. Nebraska cast 33 votes for our next President, Joe Biden.

Announcer:                                             Nevada.

Dina Titus:                                            Working people are the backbone of our economy and the key to our recovery. Joe Biden knows it's not enough to praise them. We have to reward them, so let's raise the minimum wage to $15 an hour, empower workers to negotiate for better benefits and safer workplaces, and make it easier to pay for things like healthcare and higher education. I am proud to cast 24 votes for Bernie Sanders and 25 votes for our next President, Joe Biden.

Announcer:                                             New Hampshire.

John Lynch:                                            Hello from the Granite State. We trust Joe Biden. Joe will provide the leadership necessary to bring us back from this awful pandemic, Joe has a plan to attack global climate change once and for all, and Joe will restore honesty, decency, and trust to the White House, reunite all Americans, and build a better future for all. The great state of New Hampshire awards 9 delegates to our friend and neighbor Bernie Sanders, and 24 delegates to the next President of the United States, Joe Biden.

Announcer:                                             New Jersey.

Denis McDonough:                                       We've been hit hard by COVID, but we're coming back. But we have to be smart. We have to listen to the experts and we have to have a President who has a plan. That's why in memory of all those we've lost, in solidarity with those who are sick or struggling, and in eternal gratitude for our heroic frontline workers, New Jersey cast 5 votes for Senator Bernie Sanders and 139 votes for the next President of the United States, Joe Biden.

Announcer:                                             New Mexico.

Derrick Lente:                                         [foreign language 00:16:35]. Greetings and good evening. My name is Derrick Lente, State Representative, coming to you from the homeland of my ancestors here at the beautiful Pueblo of Sandia. New Mexico is a diverse state, home to 23 indigenous sovereign nations with a rich multicultural history. We are all united by the love of this beautiful place that we call home, and we believe that we owe it to the next generation to protect the natural and cultural resources that are their inheritance, and to that end, also respect tribal sovereignty. New Mexico proudly casts 4 votes for Bernie Sanders and 42 votes for the next President of the United States of America, Joe Biden.

Announcer:                                             New York.

Scheena Iyande ...:                                    As an immigrant from St. Vincent and the Grenadines and an 1199SEIU registered nurse, I am proud to be part of America's fight against COVID-19, but many healthcare workers don't get paid sick leave or have enough protective equipment. I have two children with asthma and a mother who's high risk. I worry every day about bringing this virus home to them. Joe Biden's plan will help us take better care of your loved ones as well as our own. Along with Lieutenant Governor Kathy Hochul, I cast New York's votes, 44 votes for Bernie Sanders and 277 for our next President, Joe Biden. It's Joe time.

Announcer:                                             North Carolina.

Cozzie Watkins:                                        I've been doing this for a long time, so let me just be plain. Black people, especially black women, are the backbone of this party, and if we don't show up, Democrats don't get elected. I'm putting on my mask and we're going to every corner in North Carolina to help organize, because we need to make sure everyone shows up for Joe Biden. He would show up for us. North Carolina cast 39 votes for Bernie Sanders and 83 votes for the next President of the United States, Joe Biden.

Announcer:                                             North Dakota.

Cesar Alvarez:                                         [foreign language 00:18:47]. Welcome to the homelands of the Mandan, Hidatsa, and Arikara people. I graduated from a class of just 44 students and I had to drive three hours just to take the SATs, but growing up, I knew that college was a ladder that could take you anywhere. Joe Biden knows that everyone deserves a chance to climb that ladder, so as a proud tribal member, as a Mexican American, as a Harvard graduate, I am proud to cast North Dakota's votes, 10 for Bernie Sanders and 8 for our next President, Joe Biden.

Announcer:                                             Northern Mariana Islands.

Nola Kileleman ...:                                    [foreign language 01:21:22] and hello from paradise, the Northern Mariana Islands. We may be far away, but we're American citizens, and this year for the first time in decades, we finally have a Democratic slate because Democrats organize everywhere. While we don't get to vote for President, so please don't waste yours, the Northern Mariana Islands is proud to cast 2 votes for Senator Bernie Sanders and 9 votes for our next President, Joseph Biden. [foreign language 00:19:49] and thank you.

Announcer:                                             Ohio.

Josh Abernathy:                                        It seems like every time working people believe in a Donald Trump promise, they wind up getting screwed. Well, Joe Biden has more than just a promise. He actually has a plan to bring jobs back to America...

Tim Ryan:                                              ...like electric vehicles or a national network of vehicle-charging infrastructure that'll create good-paying jobs for skilled union workers like Josh, and the future will be made in America. Ohio cast 20 votes for Senator Bernie Sanders and 134 votes for the next President, Joe Biden. O-H!

Josh Abernathy:                                        I-O!

Announcer:                                             Oklahoma.

Alicia Andrews:                                        99 years ago, racial violence devastated a thriving black community here in Tulsa. Today, hatred still lives in our nation, but so does resolve. Oklahoma refused to let ourselves be defined by division then, and our nation must turn back the tide of violence again, now. Oklahoma cast 13 votes for Bernie Sanders and 24 votes for our next President, Joe Biden.

Speaker 28:                                            Go Joe!

Announcer:                                             Oregon.

 Rosa Colquitt:                                        As black Americans standing on native land, we probably represent Oregon. The dual viruses COVID-19 and racism laid bare on equal healthcare access and deaths in communities of color.

Travis Nelson:                                         The Democrats are working to bridge divides and make sure everyone has equal access to low- or no-cost quality care. Today, Oregon cast 16 votes for Bernie Sanders...

 Rosa Colquitt:                                        ...and with Senators Wyden and Merkley's support, cast 57 votes for Joe Biden.

Announcer:                                             Pennsylvania.

Bob Casey:                                             When Joe Biden was young, his father came to this house in Scranton, sat down on Joe's bed, and told him he lost his job. It's a moment that stayed with Joe his entire life. Right now, all across America, working families are experiencing that same fear and uncertainty, but Joe Biden has a plan to help them and to help our country build back better, creating millions of good-paying jobs so more parents will be able to tell their kids what Joe's dad said to him all those years ago. "It's going to be okay." Pennsylvania cast 34 votes for Senator Bernie Sanders and 175 votes for the next President of the United States, Scranton's own Joe Biden.

Announcer:                                             Puerto Rico.

Carmelo Rios-Sa...:                                    [Spanish 00:22: 23].

Announcer:                                             Rhode Island.

Joseph McNamara:                                       Rhode Island, the Ocean State, where our restaurant and fishing industry have been decimated by this pandemic, are lucky to have a Governor, Gina Raimondo, whose program lets our fishermen sell their catches directly to the public, and our state appetizer, calamari, is available in all 50 states. The calamari comeback state of Rhode Island casts 1 vote for Bernie Sanders and 34 votes for the next President, Joe Biden.

Announcer:                                             South Carolina.

Jaime Harrison:                                        Mr. Chairman, I am Jaime Harrison, candidate for the United States Senate, speaking from the campus of South Carolina State University, the alma mater of Majority Whip Jim Clyburn and the late Dr. Emily England Clyburn, for whom its honors college is named. This proud HBCU has contributed 22 general officers to our armed services, and tonight I proudly cast South Carolina's 64 votes as follows: 15 for Bernie Sanders and 49 for our next President of the United States, Joe Biden.

Announcer:                                             South Dakota.

Kellen Returns ...:                                    [foreign language 00:24:07]. Relatives. As a First American and citizen of the Standing Rock Sioux tribe, I welcome you to the Paha Sapa, the Black Hills, the site of my creation story and home to the Oceti Sakowin, the great Sioux nation. We often say [foreign language 00:24:22]. We are all related. Our next president must lead by this philosophy for the betterment of our next seven generations. We cast 3 votes for Senator Bernie Sanders and 17 votes for our next President, Joe Biden.

Announcer:                                             Tennessee.

Keely Sage:                                            100 years ago tonight, suffragists based here at the Hermitage Hotel in Nashville cheered as Tennessee became the 36th and deciding state to ratify the 19th Amendment, granting women the right to vote. This year, I'm casting my very first presidential vote for Joe Biden. Women will decide this election and will replace Donald Trump with a president who respects us. Tennessee cast 23 votes for Bernie Sanders and 50 votes for our next President of the United States, Mr. Joseph R. Biden.

Announcer:                                             Texas.

Veronica Escoba...:                                    A year ago, my safe community of El Paso was targeted by a domestic terrorist who murdered 23 innocent people, injured 23 more, and devastated all of us. His motive was racism and xenophobia. In the face of hate, we choose love. [Spanish 00:25:35]. And in the face of continued gun violence in America, we demand change. The time has come to act. With one abstention, the great state of Texas casts 98 votes for Bernie Sanders and 161 votes for our next President, Joe Biden.

Announcer:                                             Utah.

Jenny Wilson:                                          Here in Utah, we've had mail-in voting for years. If you're registered to vote, you automatically get sent a ballot. It's fast, it's reliable, and it's easy for everyone to participate. In 2016, we had turnout well over 80%, and this year we're expecting even higher. That's why Democrats and Republicans here in Utah agree. Mail-in voting strengthens our democracy. Utah cast 17 votes for Bernie Sanders and 16 votes for our next President, Joe Biden.

Announcer:                                             Vermont.

